ID,Page,Section,Contexte,FR,EN,ES,PT,JA,ID,VI
,,,,,,,,,,
=== NAVIGATION (partagé — pre-rempli depuis les homepages existantes) ===,,,,,,,,,,
nav_home,shared,nav,Lien menu principal,Accueil,Home,Inicio,Início,ホーム,Beranda,Trang chủ
nav_tech,shared,nav,Lien menu principal,Technologie,Technology,Tecnología,Tecnologia,技術,Teknologi,Công nghệ
nav_why,shared,nav,Lien menu principal,Pourquoi HACE,Why HACE,Por qué HACE,Por que HACE,なぜHACE,Mengapa HACE,Tại sao HACE
nav_team,shared,nav,Lien menu principal,Équipe,Team,Equipo,Equipa,チーム,Tim,Đội ngũ
nav_cta,shared,nav,Bouton contact dans la nav,Nous contacter,Contact us,Contáctenos,Contacte-nos,お問い合わせ,Hubungi kami,Liên hệ
,,,,,,,,,,
=== SLUGS D'URL (pour la structure des dossiers — IMPORTANT POUR LE SEO) ===,,,,,,,,,,
slug_tech,technologie,url,"Slug du dossier technologie dans l'URL (ex: /en/technology/)",technologie,technology,tecnologia,tecnologia,technology,teknologi,cong-nghe
slug_avantages,avantages,url,"Slug du dossier avantages dans l'URL (ex: /en/why-hace/)",avantages,why-hace,por-que-hace,por-que-hace,why-hace,mengapa-hace,tai-sao-hace
,,,,,,,,,,
=== PAGE TECHNOLOGIE — META SEO ===,,,,,,,,,,
tech_title,technologie,meta,"<title> de la page",Technologie HACE — Comment transformer les vagues en électricité,,,,,,
tech_description,technologie,meta,meta description,"OWC, physique, module, essais en mer — tout sur la technologie HACE qui transforme les vagues en électricité non-intermittente.",,,,,,
tech_og_title,technologie,meta,Open Graph title,HACE — De l'électricité avec les vagues même par mer calme,,,,,,
tech_og_description,technologie,meta,Open Graph description,"La turbine tourne à fond sans vagues visibles. Moins de 3g CO₂/kWh, non-intermittente, estimé 15€/MWh selon site. Technologie française brevetée, testée en mer.",,,,,,
tech_og_image_alt,technologie,meta,Alt text image OG,Turbine HACE en mer — système houlomoteur français breveté,,,,,,
tech_twitter_description,technologie,meta,Twitter/X description,La turbine tourne à fond sans vagues visibles. Moins de 3g CO₂/kWh. Non-intermittente. Testée en mer. Technologie française brevetée.,,,,,,
tech_dc_title,technologie,meta,Dublin Core title,HACE — Énergie houlomotrice non-intermittente par Colonnes d'Eau Oscillantes Multiples,,,,,,
tech_dc_description,technologie,meta,Dublin Core description,"HACE développe une technologie de conversion de l'énergie des vagues basée sur les Colonnes d'Eau Oscillantes Multiples (OWC) couplées à des soupapes unidirectionnelles. Production non-intermittente dès 5 cm de houle. Moins de 3g CO₂/kWh. LCOE 15€/MWh. Facteur de charge 50-90%.",,,,,,
tech_dc_coverage,technologie,meta,Dublin Core coverage,"Mondial — zones côtières, 150+ pays",,,,,,
tech_citation_title,technologie,meta,Citation title pour Google Scholar,HACE — Technologie houlomotrice OWC multiples non-intermittente,,,,,,
tech_subject,technologie,meta,Meta subject,Énergie houlomotrice — production d'électricité par les vagues,,,,,,
tech_topic,technologie,meta,Meta topic,"Énergie marine renouvelable, technologie OWC, hydrogène vert maritime",,,,,,
tech_classification,technologie,meta,Meta classification,Énergie renouvelable / Énergie marine / Houlomoteur,,,,,,
,,,,,,,,,,
=== PAGE TECHNOLOGIE — HERO ===,,,,,,,,,,
tech_hero_badge,technologie,hero,Badge au-dessus du H1,Technologie brevetée · OWC Multiples,,,,,,
tech_hero_h1,technologie,hero,"Titre principal H1 (mettre en italique la partie equivalente a 'transforme les vagues')",Comment HACE transforme les vagues en électricité,,,,,,
tech_hero_subtitle,technologie,hero,Sous-titre du hero,Du principe physique au module déployé en mer — tout ce que vous devez savoir sur la technologie.,,,,,,
,,,,,,,,,,
=== PAGE TECHNOLOGIE — SECTION PRINCIPE FONDAMENTAL ===,,,,,,,,,,
tech_s1_label,technologie,content,Label de section,Principe fondamental,,,,,,
tech_s1_title,technologie,content,Titre H2,Un moteur à piston alimenté par les vagues,,,,,,
tech_s1_subtitle,technologie,content,Sous-titre de section,"Basé sur le principe des Colonnes d'Eau Oscillantes Multiples (OWC), HACE convertit la houle en flux d'air continu qui entraîne une turbine générant de l'électricité.",,,,,,
tech_step1_title,technologie,content,Étape 01 titre,Captation,,,,,,
tech_step1_text,technologie,content,Étape 01 texte,"La houle entre par le dessous du module, dans des chambres ouvertes. Dès 5 cm de vague.",,,,,,
tech_step2_title,technologie,content,Étape 02 titre,Compression,,,,,,
tech_step2_text,technologie,content,Étape 02 texte,Des soupapes unidirectionnelles convertissent le mouvement oscillant en flux d'air continu dans une seule direction.,,,,,,
tech_step3_title,technologie,content,Étape 03 titre,Turbine au sec,,,,,,
tech_step3_text,technologie,content,Étape 03 texte,"Le flux d'air actionne une turbine hors de l'eau, protégée de l'eau salée. Maintenance sans plongeurs.",,,,,,
tech_step4_title,technologie,content,Étape 04 titre,Électricité,,,,,,
tech_step4_text,technologie,content,Étape 04 texte,"L'électricité est injectée dans le réseau via câble sous-marin, ou utilisée sur place pour produire de l'hydrogène.",,,,,,
,,,,,,,,,,
=== PAGE TECHNOLOGIE — SECTION PHYSIQUE ===,,,,,,,,,,
tech_s2_label,technologie,content,Label de section,Physique,,,,,,
tech_s2_title,technologie,content,Titre H2,Pourquoi ça marche — les chiffres,,,,,,
tech_phys1_title,technologie,content,Carte physique 1 H3,Ratio 9:1 — la clé du facteur de charge,,,,,,
tech_phys1_text,technologie,content,Carte physique 1 texte,"La turbine est dimensionnée pour 1 MW alors que le système peut théoriquement produire 9 MW. Résultat : la turbine tourne constamment à saturation, quel que soit l'état de la mer. C'est ce ratio qui génère un facteur de charge de 50 à 90%.",,,,,,
tech_phys2_title,technologie,content,Carte physique 2 H3,Spectre de houle complet,,,,,,
tech_phys2_text,technologie,content,Carte physique 2 texte,"HACE fonctionne sur l'intégralité du spectre de houle — de 5 cm à plus de 30 m. Chaque module est conçu sur mesure pour les conditions spécifiques de son site, maximisant l'énergie captée toute l'année.",,,,,,
tech_phys3_title,technologie,content,Carte physique 3 H3,Bilan carbone — < 3g CO₂eq/kWh,,,,,,
tech_phys3_text,technologie,content,Carte physique 3 texte,"Sur cycle de vie complet. Comparaison : solaire ~40g, éolien offshore ~11g, nucléaire ~6g. HACE atteint ce résultat grâce à une construction en acier 95% recyclable, sans béton, sans fondation.",,,,,,
tech_phys4_title,technologie,content,Carte physique 4 H3,Durée de vie > 50 ans,,,,,,
tech_phys4_text,technologie,content,Carte physique 4 texte,"Validée par calculs et simulations numériques. Aucune partie mobile immergée. Résistance aux cyclones, vagues scélérates et tsunamis. La turbine, seule pièce mécanique, est accessible au sec — pièces < 25 kg.",,,,,,
,,,,,,,,,,
=== PAGE TECHNOLOGIE — SECTION APPROCHE HACE ===,,,,,,,,,,
tech_s3_label,technologie,content,Label de section,L'approche HACE,,,,,,
tech_s3_title,technologie,content,Titre H2,Pourquoi les houlomoteurs échouent. Et pourquoi HACE réussit.,,,,,,
tech_s3_subtitle,technologie,content,Sous-titre,Trois ruptures fondamentales qui changent l'équation économique de l'énergie des vagues.,,,,,,
tech_pillar1_keyword,technologie,content,Mot-clé pilier 1,Rentabilité,,,,,,
tech_pillar1_problem_title,technologie,content,Titre problème (repété 3x),Le problème,,,,,,
tech_pillar1_problem_text,technologie,content,Texte problème pilier 1,"Les houlomoteurs actuels s'adaptent mal à différentes gammes de conditions de houle. Dimensionnés pour une plage étroite, ils sous-produisent par petite mer et se protègent par forte mer. Résultat : un facteur de charge faible, et un coût de l'énergie qui ne baisse jamais.",,,,,,
tech_pillar1_solution_title,technologie,content,Titre solution (repété 3x),La réponse HACE,,,,,,
tech_pillar1_solution_text,technologie,content,"Texte solution pilier 1 (1re phrase en gras: Chaque système est conçu sur mesure pour son site)","Chaque système est conçu sur mesure pour son site afin de maximiser le facteur de charge. C'est la clé de la réussite économique. Le faible coût de l'électricité est la conséquence directe de cette approche.",,,,,,
tech_pillar2_keyword,technologie,content,Mot-clé pilier 2,Intermittence,,,,,,
tech_pillar2_problem_text,technologie,content,Texte problème pilier 2,"L'intermittence est le talon d'Achille de toutes les énergies renouvelables : solaire, éolien, et houlomoteurs actuels s'arrêtent ou se mettent en protection dès que les conditions sortent de leur plage de fonctionnement. Chaque heure d'arrêt fait chuter le facteur de charge et rend le modèle économique intenable.",,,,,,
tech_pillar2_solution_text,technologie,content,"Texte solution pilier 2 (1re phrase en gras: HACE produit dans les pires conditions)","HACE produit dans les pires conditions : cyclones, vagues scélérates, tsunamis. Plus la mer est forte, plus la production augmente. Le système est insubmersible et conçu pour durer plus de 50 ans.",,,,,,
tech_pillar3_keyword,technologie,content,Mot-clé pilier 3,Industrialisabilité,,,,,,
tech_pillar3_problem_text,technologie,content,Texte problème pilier 3,"La complexité de certains houlomoteurs empêche un déploiement massif. Ils nécessitent des moyens lourds et coûteux — grues de grande capacité, navires spécialisés, composants sur mesure.",,,,,,
tech_pillar3_solution_text,technologie,content,"Texte solution pilier 3 (1re phrase en gras: HACE se fabrique dans n'importe quel chantier naval)","HACE se fabrique dans n'importe quel chantier naval, sans moyen lourd. Colonnes d'eau oscillantes en acier standard, approche industrielle de production de masse. Plus de 95% recyclable.",,,,,,
,,,,,,,,,,
=== PAGE TECHNOLOGIE — SECTION MODULE ===,,,,,,,,,,
tech_s4_label,technologie,content,Label de section,Le module,,,,,,
tech_s4_title,technologie,content,Titre H2,Architecture modulaire — du MW au GW,,,,,,
tech_s4_subtitle,technologie,content,Sous-titre,Un module unitaire de 1 MW nominal. Scalable en ligne ou en parc quinconce jusqu'au gigawatt.,,,,,,
tech_mod1_title,technologie,content,Carte module 1 titre,Module unitaire,,,,,,
tech_mod1_spec,technologie,content,Carte module 1 spec,1 MW nominal · 9 MW théorique,,,,,,
tech_mod1_text,technologie,content,Carte module 1 texte,Surface de captation 2 000 m². Moins de 5 m hors de l'eau. Installation sans fondation béton.,,,,,,
tech_mod2_title,technologie,content,Carte module 2 titre,En ligne,,,,,,
tech_mod2_spec,technologie,content,Carte module 2 spec,10–100 MW · configuration côtière,,,,,,
tech_mod2_text,technologie,content,Carte module 2 texte,Modules alignés perpendiculairement à la houle dominante. Idéal pour les façades atlantiques et ports.,,,,,,
tech_mod3_title,technologie,content,Carte module 3 titre,Parc en quinconce,,,,,,
tech_mod3_spec,technologie,content,Carte module 3 spec,100 MW – plusieurs GW,,,,,,
tech_mod3_text,technologie,content,Carte module 3 texte,Configuration chevron maximisant la captation. Double effet brise-lames. Protection côtière intégrée.,,,,,,
tech_stat1_label,technologie,content,Stat bar label 1,Puissance nominale,,,,,,
tech_stat2_label,technologie,content,Stat bar label 2,Puissance théorique,,,,,,
tech_stat3_label,technologie,content,Stat bar label 3,Surface de captation,,,,,,
tech_stat4_label,technologie,content,Stat bar label 4,Hors de l'eau,,,,,,
,,,,,,,,,,
=== PAGE TECHNOLOGIE — SECTION ESSAIS EN MER ===,,,,,,,,,,
tech_s5_label,technologie,content,Label de section,Essais en mer,,,,,,
tech_s5_title,technologie,content,Titre H2,Trois générations — résultats complets,,,,,,
tech_s5_subtitle,technologie,content,Sous-titre,"Dix ans de tests progressifs, du lac à l'Atlantique. Chaque prototype valide une étape supplémentaire.",,,,,,
tech_trial1_title,technologie,content,Timeline 2016 H3,Prototype 1 — Lac,,,,,,
tech_trial1_text,technologie,content,Timeline 2016 texte,Validation du principe OWC en eau calme. Confirmation du flux d'air continu par soupapes unidirectionnelles. Premier démonstrateur fonctionnel du concept de conversion oscillante multiples.,,,,,,
tech_trial1_tags,technologie,content,Timeline 2016 tags,Principe validé · Flux continu confirmé,,,,,,
tech_trial2_title,technologie,content,Timeline 2019 H3,Prototype 2 — Mer ouverte,,,,,,
tech_trial2_text,technologie,content,Timeline 2019 texte,Premier essai en mer ouverte. Validation de la tenue à la houle réelle et de la production électrique en conditions marines. Confirmation de la robustesse structurelle face aux conditions variables.,,,,,,
tech_trial2_tags,technologie,content,Timeline 2019 tags,Tenue en mer · Production électrique réelle · Robustesse confirmée,,,,,,
tech_trial3_title,technologie,content,Timeline 2023 H3,Prototype 3 — Atlantique,,,,,,
tech_trial3_text,technologie,content,Timeline 2023 texte,Module à échelle 1/10e déployé en Atlantique. Turbine tournant à plein régime par mer calme (5 cm de houle visible). Résistance validée par forte mer. Confirmation du ratio 9:1 en conditions réelles.,,,,,,
tech_trial3_tags,technologie,content,Timeline 2023 tags,5 cm suffit · Plein régime validé · Forte mer résistée · Ratio 9:1 confirmé,,,,,,
,,,,,,,,,,
=== PAGE TECHNOLOGIE — FAQ ===,,,,,,,,,,
tech_faq_label,technologie,faq,Label de section,FAQ Technique,,,,,,
tech_faq_title,technologie,faq,Titre H2,Questions techniques,,,,,,
tech_faq1_q,technologie,faq,Question 1,Comment fonctionne le principe OWC ?,,,,,,
tech_faq1_a,technologie,faq,Réponse 1,"L'OWC (Oscillating Water Column) est une chambre semi-immergée ouverte sur la mer par le bas. La houle fait monter et descendre l'eau à l'intérieur, comprimant et décomprimant l'air au-dessus. Des soupapes unidirectionnelles transforment ce mouvement alternatif en flux d'air continu dans une seule direction, qui entraîne une turbine classique.",,,,,,
tech_faq2_q,technologie,faq,Question 2,Qu'est-ce que le facteur de charge et pourquoi est-il si élevé ?,,,,,,
tech_faq2_a,technologie,faq,Réponse 2,"Le facteur de charge est le rapport entre l'énergie réellement produite et l'énergie maximale théorique. HACE atteint 50–90% grâce au ratio 9:1 : la turbine est dimensionnée à 1 MW alors que le système peut théoriquement en produire 9. La turbine tourne donc constamment à saturation, même par faible houle. L'éolien offshore plafonne à 25–35%.",,,,,,
tech_faq3_q,technologie,faq,Question 3,Comment le système est-il ancré ?,,,,,,
tech_faq3_a,technologie,faq,Réponse 3,"HACE utilise des ancrages souples (chaînes ou câbles) qui permettent un mouvement contrôlé avec la houle. Aucune fondation en béton, aucun forage du fond marin. Les ancrages sont bio-dynamisants — ils favorisent la colonisation marine sans pollution.",,,,,,
tech_faq4_q,technologie,faq,Question 4,Quel est le bilan matériaux ?,,,,,,
tech_faq4_a,technologie,faq,Réponse 4,"Acier standard (disponible dans tout chantier naval mondial), 95% recyclable en fin de vie. Zéro béton. Zéro fluide hydraulique polluant. Zéro terre rare. La turbine est la seule pièce mécanique significative — accessible au sec, pièces < 25 kg, maintenable par l'équipage d'un bateau de service standard.",,,,,,
tech_faq5_q,technologie,faq,Question 5,Comment la production est-elle raccordée au réseau ?,,,,,,
tech_faq5_a,technologie,faq,Réponse 5,"Via un câble sous-marin standard. L'électricité produite par la turbine est conditionnée à bord du module (convertisseur AC/DC), puis transmise au poste de raccordement à terre. La production peut aussi alimenter directement un électrolyseur en mer pour produire de l'hydrogène.",,,,,,
,,,,,,,,,,
=== PAGE TECHNOLOGIE — CTA ===,,,,,,,,,,
tech_cta_primary,technologie,cta,Bouton CTA principal (lien vers page avantages),Pourquoi HACE plutôt qu'une autre technologie ?,,,,,,
tech_cta_secondary,technologie,cta,Bouton CTA secondaire (lien vers #contact),Nous contacter,Contact us,Contáctenos,Contacte-nos,お問い合わせ,Hubungi kami,Liên hệ
,,,,,,,,,,
=== FOOTER (partagé — pre-rempli depuis les homepages existantes) ===,,,,,,,,,,
footer_tagline,shared,footer,Tagline sous le copyright,Machines de production d'énergie houlomotrice non-intermittente pour les opérateurs de réseaux électriques,,,,,,
,,,,,,,,,,
=== CTAs DES HOMEPAGES QUI POINTENT VERS TECH/AVANTAGES (pre-rempli) ===,,,,,,,,,,
home_cta_tech,shared,cta,"CTA homepage qui pointe vers la page technologie (existant, verifier trad)",Voir tous les résultats techniques →,,,,,,
home_cta_why,shared,cta,"CTA homepage qui pointe vers la page avantages (existant, verifier trad)",Pourquoi HACE plutôt qu'une autre technologie ?,,,,,,
home_cta_tech2,shared,cta,"2e CTA homepage vers technologie (existant, verifier trad)",Voir la technologie en détail,,,,,,
,,,,,,,,,,
,,,,,,,,,,
========== PAGE AVANTAGES ==========,,,,,,,,,,
,,,,,,,,,,
=== PAGE AVANTAGES — META SEO ===,,,,,,,,,,
avt_title,avantages,meta,"<title> de la page","Pourquoi HACE — Une infrastructure, pas une machine",,,,,,
avt_description,avantages,meta,meta description,"HACE est sur-dimensionné par design pour garantir le facteur de charge, scalable du MW au GW, multi-usages combinables et intégrable dans les écosystèmes les plus ambitieux.",,,,,,
avt_og_title,avantages,meta,Open Graph title,HACE — De l'électricité avec les vagues même par mer calme,,,,,,
avt_og_description,avantages,meta,Open Graph description,"La turbine tourne à fond sans vagues visibles. Moins de 3g CO₂/kWh, non-intermittente, estimé 15€/MWh selon site. Technologie française brevetée, testée en mer.",,,,,,
avt_og_image_alt,avantages,meta,Alt text image OG,Turbine HACE en mer — système houlomoteur français breveté,,,,,,
avt_twitter_description,avantages,meta,Twitter/X description,La turbine tourne à fond sans vagues visibles. Moins de 3g CO₂/kWh. Non-intermittente. Testée en mer. Technologie française brevetée.,,,,,,
avt_dc_title,avantages,meta,Dublin Core title,HACE — Énergie houlomotrice non-intermittente par Colonnes d'Eau Oscillantes Multiples,,,,,,
avt_dc_description,avantages,meta,Dublin Core description,"HACE développe une technologie de conversion de l'énergie des vagues basée sur les Colonnes d'Eau Oscillantes Multiples (OWC) couplées à des soupapes unidirectionnelles. Production non-intermittente dès 5 cm de houle. Moins de 3g CO₂/kWh. LCOE 15€/MWh. Facteur de charge 50-90%.",,,,,,
avt_citation_title,avantages,meta,Citation title,HACE — Technologie houlomotrice OWC multiples non-intermittente,,,,,,
,,,,,,,,,,
=== PAGE AVANTAGES — HERO ===,,,,,,,,,,
avt_hero_tag,avantages,hero,Tag au-dessus du H1,Infrastructure énergétique maritime,,,,,,
avt_hero_h1,avantages,hero,"Titre H1 (parties en italique: Scalable. Cumulable. Intégrable.)","Sur-dimensionné par design. Scalable. Cumulable. Intégrable.",,,,,,
avt_hero_subtitle,avantages,hero,Sous-titre du hero,"HACE a été conçu pour garantir un facteur de charge maximal dans tous les cas — et pour s'adapter à n'importe quelle ambition : du module unique au gigawatt, des usages combinés aux écosystèmes les plus complexes.",,,,,,
avt_kpi1_label,avantages,hero,KPI 1 label (valeur: 9:1),Ratio sur-dimensionnement turbine,,,,,,
avt_kpi2_label,avantages,hero,KPI 2 label (valeur: 50–90%),Facteur de charge garanti,,,,,,
avt_kpi3_label,avantages,hero,KPI 3 label (valeur: 1 MW → GW),"Même module, toutes échelles",,,,,,
avt_kpi4_label,avantages,hero,KPI 4 label (valeur: 6+),Usages combinables simultanément,,,,,,
,,,,,,,,,,
=== PAGE AVANTAGES — ARG 1 SUR-DIMENSIONNÉ ===,,,,,,,,,,
avt_arg1_label,avantages,content,Label argument 1,Le choix fondateur,,,,,,
avt_arg1_title,avantages,content,"Titre H2 (partie en italique: design)",Sur-dimensionné par design.,,,,,,
avt_arg1_text,avantages,content,Texte argument 1,"La turbine HACE est dimensionnée à 1 MW nominal alors que le système peut théoriquement produire 9 MW. Ce n'est pas une contrainte — c'est une décision stratégique délibérée. Résultat : la turbine tourne en permanence à saturation, quelle que soit la mer. Par 5 cm de houle comme par gros temps. C'est ce ratio qui garantit un facteur de charge de 50 à 90% — là où l'éolien plafonne à 30%.",,,,,,
avt_arg1_bar1_label,avantages,content,Label barre comparaison HACE,Facteur de charge HACE,,,,,,
avt_arg1_bar2_label,avantages,content,Label barre éolien,Éolien offshore (référence),,,,,,
avt_arg1_bar3_label,avantages,content,Label barre solaire,Solaire,,,,,,
avt_arg1_disclaimer,avantages,content,Disclaimer sous les barres,* Estimations issues de modèles internes et données IRENA. Le facteur de charge final dépend du site et de la houle locale.,,,,,,
avt_arg1_img_overlay1,avantages,content,Overlay image - label,Prototype 2 · Atlantique · 2019,,,,,,
avt_arg1_img_overlay2,avantages,content,Overlay image - texte,Turbine à plein régime — mer apparemment calme,,,,,,
,,,,,,,,,,
=== PAGE AVANTAGES — ARG 2 SCALABLE ===,,,,,,,,,,
avt_arg2_label,avantages,content,Label argument 2,Scalabilité,,,,,,
avt_arg2_title,avantages,content,"Titre H2 (partie en italique: Scalable)",Scalable sans friction.,,,,,,
avt_arg2_text,avantages,content,Texte argument 2,"Un seul module. Une seule technologie. Un seul process de fabrication — dans n'importe quel chantier naval mondial, sans moyen lourd. Du démonstrateur à l'île diesel-dépendante, du projet côtier au parc de plusieurs GW : la même brique. Pas de rupture technologique. Pas de nouveau risque industriel à chaque étape. C'est la même machine qu'on multiplie.",,,,,,
avt_arg2_img_overlay1,avantages,content,Overlay image gauche - label,Module unitaire,,,,,,
avt_arg2_img_overlay2,avantages,content,Overlay image gauche - valeur,1 MW → plusieurs GW,,,,,,
avt_arg2_img_overlay3,avantages,content,Overlay image gauche - texte,"Même module. Même technologie. Toutes échelles.",,,,,,
avt_scale1_label,avantages,content,Échelle 1 label (valeur: 1 MW),Module unitaire,,,,,,
avt_scale2_label,avantages,content,Échelle 2 label (valeur: 10 MW),Ligne côtière,,,,,,
avt_scale3_label,avantages,content,Échelle 3 label (valeur: 100 MW),Parc régional,,,,,,
avt_scale4_label,avantages,content,Échelle 4 label (valeur: 1+ GW),Ferme offshore,,,,,,
avt_arg2_footnote,avantages,content,Note de bas de section,"Acier standard. 95% recyclable. Fabricable dans tout chantier naval. Pas de composant exotique, pas de logistique lourde.",,,,,,
,,,,,,,,,,
=== PAGE AVANTAGES — ARG 3 USAGES CUMULÉS ===,,,,,,,,,,
avt_arg3_label,avantages,content,Label argument 3,Externalités positives,,,,,,
avt_arg3_title,avantages,content,"Titre H2 (partie en italique: cumulent)",Les usages se cumulent.,,,,,,
avt_arg3_text,avantages,content,Texte argument 3,"Une même installation HACE peut simultanément produire de l'électricité, protéger un littoral, alimenter un électrolyseur et sécuriser un port. Chaque usage supplémentaire améliore le ROI global sans coût additionnel majeur. C'est la logique inverse des autres énergies : ici, plus vous utilisez, plus c'est rentable.",,,,,,
avt_usage1_name,avantages,content,Usage 1 nom,Production électrique,,,,,,
avt_usage1_badge,avantages,content,Usage 1 badge,Usage principal,,,,,,
avt_usage2_name,avantages,content,Usage 2 nom,Protection côtière,,,,,,
avt_usage2_badge,avantages,content,Usage 2 badge,Sans surcoût majeur,,,,,,
avt_usage3_name,avantages,content,Usage 3 nom,Hydrogène vert,,,,,,
avt_usage3_badge,avantages,content,Usage 3 badge,Électrolyseur alimenté en continu,,,,,,
avt_usage4_name,avantages,content,Usage 4 nom,Data centers côtiers,,,,,,
avt_usage4_badge,avantages,content,Usage 4 badge,Énergie stable + refroidissement,,,,,,
avt_usage_total_label,avantages,content,Label ROI total,ROI cumulé — Île diesel-dépendante,,,,,,
avt_usage_total_sublabel,avantages,content,Sous-label ROI,Chaque usage supplémentaire améliore le bilan global,,,,,,
avt_usage_total_val,avantages,content,Valeur ROI,ROI < 3 ans,,,,,,
,,,,,,,,,,
=== PAGE AVANTAGES — ARG 4 ÉCOSYSTÈME ===,,,,,,,,,,
avt_arg4_label,avantages,content,Label argument 4,Vision système,,,,,,
avt_arg4_title,avantages,content,"Titre H2 (partie en italique: plus ambitieux)","La brique d'un écosystème plus ambitieux.",,,,,,
avt_arg4_text,avantages,content,Texte argument 4,"HACE pourrait devenir la source énergie d'un système qui dépasse la simple production électrique. Les synergies avec des acteurs complémentaires existent déjà — et les architectures les plus ambitieuses restent à construire.",,,,,,
avt_eco1_title,avantages,content,Noeud écosystème 1 H4,ZESTAs — Transport maritime zéro émission,,,,,,
avt_eco1_text,avantages,content,Noeud écosystème 1 texte,"Alliance mondiale de 50+ acteurs. HACE comme fournisseur d'énergie ""Absolute Zero"" pour ports et navires.",,,,,,
avt_eco1_tag,avantages,content,Noeud écosystème 1 tag,Alliance confirmée · 2026,,,,,,
avt_eco2_title,avantages,content,Noeud écosystème 2 H4,SHZ + H2X — Chaîne hydrogène complète,,,,,,
avt_eco2_text,avantages,content,Noeud écosystème 2 texte,Stockage 20× plus léger (SHZ) + solutions d'usage (H2X). HACE fournirait l'énergie continue à l'entrée de la chaîne.,,,,,,
avt_eco2_tag,avantages,content,Noeud écosystème 2 tag,Partenariat en cours · conditionnel,,,,,,
avt_eco3_title,avantages,content,Noeud écosystème 3 H4,Réseaux hybrides — HACE + éolien + solaire,,,,,,
avt_eco3_text,avantages,content,Noeud écosystème 3 texte,La continuité de production HACE compense l'intermittence des autres sources. Une complémentarité naturelle qui pourrait supprimer le besoin de stockage massif.,,,,,,
avt_eco3_tag,avantages,content,Noeud écosystème 3 tag,Potentiel identifié · à développer,,,,,,
avt_eco4_title,avantages,content,Noeud écosystème 4 H4,Data centers + refroidissement côtier,,,,,,
avt_eco4_text,avantages,content,Noeud écosystème 4 texte,Les grandes infrastructures numériques côtières pourraient s'alimenter en énergie stable HACE tout en utilisant l'eau de mer pour le refroidissement.,,,,,,
avt_eco4_tag,avantages,content,Noeud écosystème 4 tag,Usage émergent · à structurer,,,,,,
,,,,,,,,,,
=== PAGE AVANTAGES — CTA FINAL ===,,,,,,,,,,
avt_cta_title,avantages,cta,Titre CTA final,"Plus votre projet est ambitieux, plus HACE est pertinent.",,,,,,
avt_cta_subtitle,avantages,cta,Sous-titre CTA,"Investisseurs, opérateurs, collectivités — parlons du projet que vous avez en tête.",,,,,,
avt_cta_primary,avantages,cta,Bouton CTA principal (lien vers #contact),Nous contacter,Contact us,Contáctenos,Contacte-nos,お問い合わせ,Hubungi kami,Liên hệ
avt_cta_secondary,avantages,cta,Bouton CTA secondaire (lien vers page technologie),Voir la technologie →,,,,,,
